,primary_key,prob
0,43231676,0.170396275
1,44150123,0.274510916
2,48126804,0.249354953
3,44577506,0.277467289
4,45463164,0.875608874
5,43608070,0.514323869
6,43571777,0.760043176
7,44385232,0.919019942
8,44990188,0.06926295
9,45328676,0.069453739
10,43762656,0.179869762
11,44169538,0.181528209
12,46910434,0.864176669
13,48515633,0.713954216
14,48823296,0.092495182
15,48103045,0.615560322
16,45662910,0.6128682
17,43958226,0.28655319
18,43428486,0.481894843
19,43449985,0.694703
20,44820747,0.748080486
21,45616551,0.148103077
22,43765717,0.223906028
23,49099353,0.052523939
24,46232343,0.233104764
25,48915174,0.578176145
26,44785484,0.880056472
27,47561182,0.876273477
28,46705349,0.078909826
29,46743861,0.079039716
30,43090890,0.479622509
31,48934508,0.204857827
32,49128144,0.199418959
33,48451881,0.195087727
34,48959561,0.609365392
35,45771094,0.077739177
36,45824268,0.712884167
37,48985732,0.096658149
38,45676219,0.893174378
39,43290435,0.886720566
40,46867738,0.113147633
41,45962277,0.113509339
42,46901946,0.113605416
43,45171221,0.672354051
44,44567489,0.306875916
45,45350963,0.306875857
46,44178984,0.306852474
47,49159117,0.306856149
48,48796455,0.306869321
49,45521155,0.481985439
50,43617265,0.938456733
51,43592455,0.839990591
52,45954437,0.870391616
53,48517511,0.870460995
54,43381131,0.100828883
55,48827358,0.667192682
56,49158063,0.603899103
57,45173275,0.115807736
58,45988759,0.399317416
59,45988906,0.397736853
60,46751548,0.28935883
61,44393871,0.380756203
62,44355643,0.383465399
63,46750006,0.117393939
64,49158199,0.139062183
65,45682390,0.373835938
66,43099460,0.071761829
67,45530592,0.782815239
68,48476235,0.201433692
69,48917881,0.58463589
70,45498913,0.5
71,45525282,0.111050089
72,45532498,0.828885385
73,43089748,0.193315206
74,44962704,0.193352886
75,46151095,0.192221698
76,49125782,0.193426101
77,44966572,0.279665546
78,43521765,0.882812837
79,46281445,0.07488104
80,43542146,0.228150795
81,45008001,0.131200181
82,45673569,0.184276053
83,45981517,0.023454835
84,46084136,0.023563377
85,44531339,0.555938102
86,44369909,0.286084207
87,45165118,0.852897391
88,46002100,0.355604823
89,46252126,0.062406308
90,46010147,0.913171777
91,45663512,0.646368137
92,48596283,0.080916392
93,48165048,0.242690189
94,48959425,0.910482334
95,45164823,0.860186172
96,48311891,0.845641886
97,47021097,0.933071285
98,45476021,0.61079169
99,44126880,0.684955319
100,45639017,0.400650345
101,43284657,0.185446287
102,43522396,0.053169776
103,48297392,0.376379716
104,44743328,0.138250189
105,43763718,0.12658425
106,48282992,0.658403461
107,43735252,0.872536648
108,44547625,0.749628522
109,44998442,0.289423108
110,43292473,0.16878367
111,46713094,0.242371258
112,45294227,0.223275626
113,43608483,0.635144306
114,46267616,0.64747159
115,48469991,0.142974563
116,47562015,0.884874738
117,48284150,0.768039461
118,45823596,0.268190417
119,43600221,0.46936973
120,46906725,0.151084757
121,46749424,0.087600314
122,48110484,0.079189092
123,43229613,0.721668271
124,43550493,0.725193708
125,43229609,0.725193708
126,45815633,0.01334757
127,43607066,0.25953056
128,44790694,0.183118446
129,46147143,0.71093488
130,48663586,0.544543966
131,48984523,0.235181945
132,44380509,0.23541685
133,43954448,0.235181726
134,48652326,0.235480167
135,48355299,0.45853511
136,43290695,0.021620169
137,46750164,0.84889825
138,44580537,0.846479627
139,44931538,0.327865171
140,48086822,0.328231337
141,49134001,0.448600504
142,43731551,0.064683138
143,48745519,0.863135173
144,49152153,0.692788185
145,48460109,0.322609226
146,48615350,0.663948366
147,46757701,0.242747727
148,45001033,0.529468328
149,45144049,0.350601547
150,46725498,0.480427708
151,48282688,0.844542759
152,45164695,0.881953286
153,43567397,0.034552615
154,48617060,0.453539268
155,45614696,0.135151648
156,43531934,0.221551708
157,44935342,0.107313828
158,44536670,0.112273095
159,46000504,0.099493699
160,44822064,0.234227674
161,43377275,0.823349824
162,45328814,0.924067929
163,45684817,0.916350697
164,43411021,0.5
165,46704285,0.629465957
166,46906713,0.111507249
167,43129588,0.174729647
168,43274505,0.153306404
169,43607226,0.121739874
170,44386640,0.206848921
171,46110015,0.304621389
172,44351359,0.909811105
173,48793311,0.066188412
174,44332199,0.350676338
175,44941084,0.351037879
176,45988265,0.797743409
177,48614824,0.796988105
178,43553272,0.282172953
179,48749593,0.904235798
180,48922610,0.901250886
181,44757523,0.140634786
182,46277175,0.140286996
183,46913882,0.921882483
184,46007659,0.505844489
185,45822412,0.573719924
186,45314752,0.197576474
187,45490556,0.195813147
188,45530030,0.196545324
189,45179830,0.218687715
190,43387387,0.358588762
191,44964163,0.512143748
192,43776190,0.394447782
193,46868899,0.114576947
194,44131023,0.27254255
195,48922068,0.33352817
196,45617222,0.26135723
197,48358297,0.130431542
198,45937968,0.767001117
199,48095542,0.872657508
200,48478192,0.701359594
201,44561456,0.71331331
202,47526242,0.298988755
203,48163825,0.156743036
204,45535455,0.579747078
205,49170175,0.767128752
206,44801404,0.520541494
207,48308771,0.01352753
208,48909540,0.78416644
209,47028140,0.366810014
210,46748507,0.692392178
211,43127156,0.095014733
212,43115586,0.08578686
213,47050561,0.444938248
214,46267641,0.444267994
215,43939342,0.290652048
216,48519127,0.553411115
217,43091132,0.129760228
218,46902511,0.129917965
219,43101478,0.128250196
220,44991898,0.863733848
221,45529541,0.885819501
222,48912170,0.178038533
223,45174248,0.799221564
224,46697055,0.228947297
225,47555518,0.229351665
226,46697052,0.228947297
227,44966448,0.918538011
228,47566436,0.918535297
229,44754653,0.163739762
230,44349576,0.041312747
231,43102800,0.884141231
232,48152980,0.881754809
233,48151080,0.883737751
234,48636652,0.053869308
235,43765993,0.054246142
236,46097455,0.079806468
237,48959078,0.211554234
238,43072181,0.213180352
239,45120322,0.209442522
240,43769132,0.451235279
241,47586155,0.276951356
242,49161469,0.925583956
243,46282139,0.297480938
244,48352544,0.5
245,48148352,0.235870007
246,46915809,0.790465545
247,43558623,0.731080391
248,48620928,0.255797372
249,44178996,0.159373966
250,48290583,0.893726583
251,45103316,0.906549542
252,48130517,0.338337756
253,48289471,0.031489952
254,48916407,0.057357968
255,43538933,0.271419191
256,43123009,0.433813228
257,43133204,0.433813228
258,43133208,0.433813228
259,45792581,0.732662085
260,43101418,0.263618708
261,48596690,0.085083303
262,43400621,0.142487136
263,45521949,0.049168375
264,44369416,0.198448942
